Owner,Repo Name,Filename,Commit Message
deepchem,deepchem,deepchem/utils/dft_utils/__init__.py,"Dft Part 5 (#3895)

* ks.py and scf_qccalc.py

* spin param update and docs

* hf and libxc

* remove ks

* remove hf

* formatting

* minor 3.8 yapf fix

* remove update

* minor fix - remove it due to having bad support for decorators in docs

* hf

* init

* env fixes

* minor env fix

* docs improvement

* added test for HFEngine

* minor fixes

* docs

* citation and more docs

* python 3.8 error fix"
deepchem,deepchem,deepchem/utils/dft_utils/qccalc/hf.py,"Dft Part 5 (#3895)

* ks.py and scf_qccalc.py

* spin param update and docs

* hf and libxc

* remove ks

* remove hf

* formatting

* minor 3.8 yapf fix

* remove update

* minor fix - remove it due to having bad support for decorators in docs

* hf

* init

* env fixes

* minor env fix

* docs improvement

* added test for HFEngine

* minor fixes

* docs

* citation and more docs

* python 3.8 error fix"
deepchem,deepchem,docs/source/api_reference/utils.rst,"Dft Part 5 (#3895)

* ks.py and scf_qccalc.py

* spin param update and docs

* hf and libxc

* remove ks

* remove hf

* formatting

* minor 3.8 yapf fix

* remove update

* minor fix - remove it due to having bad support for decorators in docs

* hf

* init

* env fixes

* minor env fix

* docs improvement

* added test for HFEngine

* minor fixes

* docs

* citation and more docs

* python 3.8 error fix"
Qiskit,qiskit,releasenotes/notes/storage-var-a00a33fcf9a71f3f.yaml,"Add release notes for manual `Var` and `Store` (#12421)

* Add release notes for manual `Var` and `Store`

This adds the release notes and updates some small portions of
documentation that were previously missed surrounding the new manual
`Var` storage locations.

This includes documenting all new keyword arguments to methods, upgrade
instructions for providers, and adding the `Var.new` method to the
documentation, which was previously erroneously omitted.

* Fix Sphinx typo

* Fix another Sphinx typo

* Move QPY version bump to upgrade

* Unify base release note

* Reword providers upgrade note

Co-authored-by: Matthew Treinish <mtreinish@kortar.org>

---------

Co-authored-by: Matthew Treinish <mtreinish@kortar.org>"
Qiskit,qiskit,qiskit/qobj/converters/pulse_instruction.py,"Avoid lossing precision when scaling frequencies (#12392)

* Avoid lossing precision when scaling frequencies

Classes in pulse_instruction.py scale frequency values to GHz by
multipliying `ParameterExpression` with float 1e9. This can lead
to numerical errors on some systems using symengine. Instead, this
scaling can be done multiplying by integer 10**9.

See: https://github.com/Qiskit/qiskit/issues/12359#issuecomment-2104426621

* Add release note

---------

Co-authored-by: Jake Lishman <jake.lishman@ibm.com>"
Qiskit,qiskit,qiskit/transpiler/passes/basis/basis_translator.py,Fix two cross-references in `BasisTranslator` docstring (#12398)
Qiskit,qiskit,qiskit/quantum_info/operators/symplectic/sparse_pauli_op.py,"Fix a corner case of `SparsePauliOp.apply_layout` (#12375)

* fix a corner case of `SparsePauliOp.apply_layout`

* Add zero-qubit tests of Pauli.apply_layout

* use combine and apply isort

* Update releasenotes/notes/fix-sparse-pauli-op-apply-layout-zero-43b9e70f0d1536a6.yaml

---------

Co-authored-by: Matthew Treinish <mtreinish@kortar.org>"
Qiskit,qiskit,releasenotes/notes/fix-sparse-pauli-op-apply-layout-zero-43b9e70f0d1536a6.yaml,"Fix a corner case of `SparsePauliOp.apply_layout` (#12375)

* fix a corner case of `SparsePauliOp.apply_layout`

* Add zero-qubit tests of Pauli.apply_layout

* use combine and apply isort

* Update releasenotes/notes/fix-sparse-pauli-op-apply-layout-zero-43b9e70f0d1536a6.yaml

---------

Co-authored-by: Matthew Treinish <mtreinish@kortar.org>"
Qiskit,qiskit,test/python/quantum_info/operators/symplectic/test_pauli.py,"Fix a corner case of `SparsePauliOp.apply_layout` (#12375)

* fix a corner case of `SparsePauliOp.apply_layout`

* Add zero-qubit tests of Pauli.apply_layout

* use combine and apply isort

* Update releasenotes/notes/fix-sparse-pauli-op-apply-layout-zero-43b9e70f0d1536a6.yaml

---------

Co-authored-by: Matthew Treinish <mtreinish@kortar.org>"
Qiskit,qiskit,test/python/quantum_info/operators/symplectic/test_sparse_pauli_op.py,"Fix a corner case of `SparsePauliOp.apply_layout` (#12375)

* fix a corner case of `SparsePauliOp.apply_layout`

* Add zero-qubit tests of Pauli.apply_layout

* use combine and apply isort

* Update releasenotes/notes/fix-sparse-pauli-op-apply-layout-zero-43b9e70f0d1536a6.yaml

---------

Co-authored-by: Matthew Treinish <mtreinish@kortar.org>"
Qiskit,qiskit,test/python/circuit/test_compose.py,"Fix `QuantumCircuit.compose` with `Index` exprs (#12396)

This was an oversight in d6c74c265 (gh-12310), where an `ExprVisitor`
was missed in the testing."
Qiskit,qiskit,crates/circuit/src/lib.rs,"[DAGCircuit Oxidation] Port `DAGNode` to Rust (#12380)

* Checkpoint before rebase.

* [Tests passing] Port DAGNode classes to Rust.

Also has beginnings of DAGCircuit, but this is not
complete or wired up at all.

* Revert DAGCircuit stuff.

* Fix lint.

* Address review comments.

* Python lint + format

* Fix format

* Remove unnecessary state methods from CircuitInstruction pickling."
Qiskit,qiskit,qiskit/dagcircuit/dagnode.py,"[DAGCircuit Oxidation] Port `DAGNode` to Rust (#12380)

* Checkpoint before rebase.

* [Tests passing] Port DAGNode classes to Rust.

Also has beginnings of DAGCircuit, but this is not
complete or wired up at all.

* Revert DAGCircuit stuff.

* Fix lint.

* Address review comments.

* Python lint + format

* Fix format

* Remove unnecessary state methods from CircuitInstruction pickling."
Qiskit,qiskit,qiskit/quantum_info/operators/symplectic/sparse_pauli_op.py,"Fix {Pauli,SparsePauliOp}.apply_layout to raise an error with negative or duplicate indices (#12385)

* fix apply_layout to raise an error with negative or duplicate indices

* reno

* Fix Sphinx syntax

* Fix my own Sphinx lookup problem

---------

Co-authored-by: Jake Lishman <jake@binhbar.com>"
Qiskit,qiskit,releasenotes/notes/fix-apply-layout-duplicate-negative-indices-cf5517921fe52706.yaml,"Fix {Pauli,SparsePauliOp}.apply_layout to raise an error with negative or duplicate indices (#12385)

* fix apply_layout to raise an error with negative or duplicate indices

* reno

* Fix Sphinx syntax

* Fix my own Sphinx lookup problem

---------

Co-authored-by: Jake Lishman <jake@binhbar.com>"
Qiskit,qiskit,test/python/quantum_info/operators/symplectic/test_pauli.py,"Fix {Pauli,SparsePauliOp}.apply_layout to raise an error with negative or duplicate indices (#12385)

* fix apply_layout to raise an error with negative or duplicate indices

* reno

* Fix Sphinx syntax

* Fix my own Sphinx lookup problem

---------

Co-authored-by: Jake Lishman <jake@binhbar.com>"
Qiskit,qiskit,qiskit/transpiler/passes/routing/commuting_2q_gate_routing/commuting_2q_gate_router.py,"Fix missing layout in `Commuting2qGateRouter` (#12137)

* Add layout to property set, add test

* Apply comments from code review

* Add virtual permutation instead of final layout. Test"
