name,owner,description,html_url,readme_url
WaveFunctionCollapse,mxgmn,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics,https://github.com/mxgmn/WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse/blob/master/README.md
QuantumultX,w37fhy,同步和更新大佬脚本库，更新懒人配置,https://github.com/w37fhy/QuantumultX,https://github.com/w37fhy/QuantumultX/blob/master/README.md
deepchem,deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology",https://github.com/deepchem/deepchem,https://github.com/deepchem/deepchem/blob/master/README.md
qiskit,Qiskit,"Qiskit is an open-source SDK for working with quantum computers at the level of extended quantum circuits, operators, and primitives.",https://github.com/Qiskit/qiskit,https://github.com/Qiskit/qiskit/blob/main/README.md
qiskit,Qiskit,"Qiskit is an open-source SDK for working with quantum computers at the level of extended quantum circuits, operators, and primitives.",https://github.com/Qiskit/qiskit,https://github.com/Qiskit/qiskit/blob/master/README.md
QuantumKatas,microsoft,Tutorials and programming exercises for learning Q# and quantum computing,https://github.com/microsoft/QuantumKatas,https://github.com/microsoft/QuantumKatas/blob/main/README.md
QuantumKatas,microsoft,Tutorials and programming exercises for learning Q# and quantum computing,https://github.com/microsoft/QuantumKatas,https://github.com/microsoft/QuantumKatas/blob/master/README.md
Cirq,quantumlib,"A python framework for creating, editing, and invoking Noisy Intermediate Scale Quantum (NISQ) circuits.",https://github.com/quantumlib/Cirq,https://github.com/quantumlib/Cirq/blob/main/README.rst
Cirq,quantumlib,"A python framework for creating, editing, and invoking Noisy Intermediate Scale Quantum (NISQ) circuits.",https://github.com/quantumlib/Cirq,https://github.com/quantumlib/Cirq/blob/master/README.rst
QuantumultX,Orz-3,,https://github.com/Orz-3/QuantumultX,https://github.com/Orz-3/QuantumultX/blob/master/README.md
Quantum,microsoft,Microsoft Quantum Development Kit Samples,https://github.com/microsoft/Quantum,https://github.com/microsoft/Quantum/blob/main/README.md
Quantum,microsoft,Microsoft Quantum Development Kit Samples,https://github.com/microsoft/Quantum,https://github.com/microsoft/Quantum/blob/master/README.md
qiskit-metapackage,Qiskit,"Qiskit is an open-source SDK for working with quantum computers at the level of circuits, algorithms, and application modules.",https://github.com/Qiskit/qiskit-metapackage,https://github.com/Qiskit/qiskit-metapackage/blob/master/README.md
Rules-For-Quantumult-X,sve1r,"适用于 Quantumult X 规则整理集合. 所有内容源自 互联网,仅作为收集和整理 ",https://github.com/sve1r/Rules-For-Quantumult-X,https://github.com/sve1r/Rules-For-Quantumult-X/blob/main/README.md
QuantumultX,KOP-XIAO,,https://github.com/KOP-XIAO/QuantumultX,https://github.com/KOP-XIAO/QuantumultX/blob/master/README.md
awesome-quantum-machine-learning,krishnakumarsekar,"Here you can get all the Quantum Machine learning Basics, Algorithms ,Study Materials ,Projects and the descriptions of the projects around the web",https://github.com/krishnakumarsekar/awesome-quantum-machine-learning,https://github.com/krishnakumarsekar/awesome-quantum-machine-learning/blob/master/README.md
Quantumult-X,crossutility,,https://github.com/crossutility/Quantumult-X,https://github.com/crossutility/Quantumult-X/blob/master/README.md
awesome-quantum-computing,desireevl,A curated list of awesome quantum computing learning and developing resources.,https://github.com/desireevl/awesome-quantum-computing,https://github.com/desireevl/awesome-quantum-computing/blob/master/README.md
quantum-core,quantum-elixir,:watch: Cron-like job scheduler for Elixir,https://github.com/quantum-elixir/quantum-core,https://github.com/quantum-elixir/quantum-core/blob/main/README.md
quantum-core,quantum-elixir,:watch: Cron-like job scheduler for Elixir,https://github.com/quantum-elixir/quantum-core,https://github.com/quantum-elixir/quantum-core/blob/master/README.md
qiskit-tutorials,Qiskit,A collection of Jupyter notebooks showing how to use the Qiskit SDK,https://github.com/Qiskit/qiskit-tutorials,https://github.com/Qiskit/qiskit-tutorials/blob/master/README.md
